CourseID,CourseName,Credits,TotalSeats,DaysMet,StartTime,EndTime,ProfName,Prerequisites
ACCT201A,PRINCIPLES OF ACCOUNTING I,3,30,MWF,9:00:00,9:50:00,"Stone, Jennifer",
ACCT201B,PRINCIPLES OF ACCOUNTING I,3,30,MWF,11:00:00,11:50:00,"Snyder, Richard",
ACCT201D,PRINCIPLES OF ACCOUNTING I,3,30,MWF,13:00:00,13:50:00,"Snyder, Richard",
ACCT201E,PRINCIPLES OF ACCOUNTING I,3,30,MWF,14:00:00,14:50:00,"Snyder, Richard",
ACCT201O,PRINCIPLES OF ACCOUNTING I,3,25,,,,"Stone, Jennifer",
ACCT202A,PRINCIPLES OF ACCOUNTING II,3,30,MWF,9:00:00,9:50:00,"Stone, Jennifer",ACCT 201
ACCT202B,PRINCIPLES OF ACCOUNTING II,3,30,MWF,11:00:00,11:50:00,"Stone, Jennifer",ACCT 201
ACCT202D,PRINCIPLES OF ACCOUNTING II,3,30,MWF,13:00:00,13:50:00,"Snyder, Richard",ACCT 201
ACCT202E,PRINCIPLES OF ACCOUNTING II,3,30,MWF,15:00:00,15:50:00,"Snyder, Richard",ACCT 201
ACCT202O,PRINCIPLES OF ACCOUNTING II,3, ,,,,"Stone, Jennifer",ACCT 201
ACCT301A,INTERMEDIATE ACCOUNTING I,3,26,MWRF,8:00:00,8:50:00,"McFeaters, Michelle",ACCT 202
ACCT301B,INTERMEDIATE ACCOUNTING I,3,26,MWRF,10:00:00,10:50:00,"Stone, Jennifer",ACCT 202
ACCT302A,INTERMEDIATE ACCOUNTING II,3,24,MWRF,8:00:00,8:50:00,"McFeaters, Michelle",ACCT 301
ACCT302B,INTERMEDIATE ACCOUNTING II,3,24,MWRF,10:00:00,10:50:00,"McFeaters, Michelle",ACCT 301
ACCT303A,COST ACCOUNTING,3,35,TR,8:00:00,9:15:00,"McFeaters, Michelle",ACCT 202
ACCT321A,ACCT INFORMATION SYSTEMS,3,24,TR,10:05:00,11:20:00,"Stone, Jennifer",ACCT 202
ACCT401A,ADVANCED ACCOUNTING I,3,32,TR,10:05:00,11:20:00,"Stone, Jennifer",ACCT 302
ACCT402A,ADVANCED ACCOUNTING II,3,32,MWF,12:00:00,12:50:00,"Snyder, Richard",ACCT 302
ACCT403B,AUDITING,3,30,TR,11:30:00,12:45:00,"DiDonato, Andrea",ACCT 302; ACCT 321
ACCT404A,ADVANCED AUDITING,3,25,M,18:30:00,21:00:00,"DiDonato, Andrea",ACCT 403
ACCT405A,TAX ACCOUNTING,3,27,TR,10:05:00,11:20:00,"Snyder, Richard",ACCT 202
ACCT405B,TAX ACCOUNTING,3,27,TR,13:00:00,14:15:00,"Snyder, Richard",ACCT 202
ACCT406A,ADVANCED TAX ACCT,3,25,TR,13:00:00,14:15:00,"Snyder, Richard",ACCT 405
ACCT410A,CONTEMP ACCT THEORY/PRACTICE,3,30,TR,8:00:00,9:15:00,"McFeaters, Michelle",ACCT 302
ART101A,ELEMENTS AND PRINCIPLES OF DRAWING,3,15,MW,10:00:00,11:15:00,"Sanders, Glen",
ART103A,CERAMICS I HANDBUILDING,3,15,TR,13:00:00,14:15:00,"Rhoades, Kathy",
ART104A,CERAMICS I WHEEL,3,12,TR,10:05:00,11:20:00,"Rhoades, Kathy",
ART104B,CERAMICS I WHEEL,3,12,TR,14:30:00,15:45:00,"Rhoades, Kathy",
ART105A,INTRO TO COLOR THEORY IN PAINTING,3,20,MW,10:00:00,11:15:00,"Sanders, Glen",
ART111A,INTRODUCTION TO SCULPTURE,3,12,MW,11:30:00,12:45:00,"Sanders, Glen",
ART121A,BEGINNING PRINTMAKING,3,15,TR,11:30:00,12:45:00,"Brutscher, Chandler",
ART201A,HIST & APPREC OF ART I,3,25,TR,10:05:00,11:20:00,"Carter, Beverly",HUMA 301
ART202A,HIST & APPREC OF ART II,3,25,TR,10:05:00,11:20:00,"Carter, Beverly",HUMA 301
ART207A,CERAMICS II,3,10,W,15:00:00,17:30:00,"Rhoades, Kathy",ART 103; ART 104
ART208A,PUEBLO POTTERY,3,15,W,15:00:00,17:30:00,"Rhoades, Kathy",
ART320A,GALLERY STUDIES,3,15,TR,11:30:00,12:45:00,"Brutscher, Chandler",
ART321A,THE USE OF ART IN THE CLASSROOM,1,20,T,16:00:00,16:50:00,"Heisey, Natalie",EDUC 327
ASTR206A,INTRO TO SKY MOTIONS & PLANETS,3,45,MWF,13:00:00,13:50:00,"Clem, James",
ASTR206B,INTRO TO SKY MOTIONS & PLANETS,3,25,,,,"Clem, James",
ASTR207A,INTRO TO STARS/GALAXIES/COSMOLOGY,3,25,MWF,10:00:00,10:50:00,"Clem, James",
ASTR207B,INTRO TO STARS/GALAXIES/COSMOLOGY,3,25,MWF,13:00:00,13:50:00,"Clem, James",
ASTR207C,INTRO TO STARS/GALAXIES/COSMOLOGY,3,25,,,,"Clem, James",
ASTR310A,INTRODUCTION TO ASTROPHYSICS,3,16,MW,19:00:00,20:15:00,"Clem, James",ASTR 206; ASTR 207; PHYS 101; PHYS 102; PHYS 121; PHYS 122
BIOL101A,GENERAL BIOLOGY I,4,85,MWF,9:00:00,9:50:00,"Pazehoski, Kristina",
BIOL101B,GENERAL BIOLOGY I,4,85,MWF,10:00:00,10:50:00,"Pazehoski, Kristina",
BIOL101L,LABORATORY,0,28,M,14:00:00,16:59:00,"Antoszewski, Lisa",
BIOL101M,LABORATORY,0,28,T,10:05:00,12:59:00,"Lytle, Laurie",
BIOL101N,LABORATORY,0,28,T,14:30:00,17:29:00,"Strain, Joy",
BIOL101O,LABORATORY,0,28,W,14:00:00,16:59:00,"Strain, Joy",
BIOL101P,LABORATORY,0,29,R,10:05:00,12:59:00,"Lytle, Laurie",
BIOL101Q,LABORATORY,0,29,R,14:30:00,17:29:00,"Strain, Joy",
BIOL102A,GENERAL BIOLOGY II,4,55,MWF,8:00:00,8:50:00,"Dudt, Jan",BIOL 101
BIOL102B,GENERAL BIOLOGY II,4,60,MWF,9:00:00,9:50:00,"Dudt, Jan",BIOL 101
BIOL102L,LABORATORY,0,28,M,14:00:00,16:59:00,"Jenkins, Stephen",
BIOL102M,LABORATORY,0,28,T,10:05:00,12:59:00,"Strain, Joy",
BIOL102N,LABORATORY,0,28,T,14:30:00,17:29:00,"Dudt, Jan",
BIOL102O,LABORATORY,0,28,R,14:30:00,17:29:00,"Strain, Joy",
BIOL190A,STUDY: INTRO TO BIOLOGY HEALTH,1,24,W,13:00:00,14:59:00,"Farone, Tracy",BIOL 101
BIOL208A,INTRO TO ENVIRONMENTAL EDUCATION,2,15,TR,17:00:00,17:50:00,"McCullough, Jacqueline",
BIOL233A,GENETICS,4,35,MWF,10:00:00,10:50:00,"Antoszewski, Lisa",BIOL 102
BIOL233B,GENETICS,4,35,MWF,11:00:00,11:50:00,"Antoszewski, Lisa",BIOL 102
